Kode_Wisata,Jumlah_Ulasan,Latitude,Longitude,Image
WS00064,9512,-6.872935788,107.5423283,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Taman%20Alun-Alun%20Kota%20Cimahi%20-%201.jpeg?raw=true
WS00065,2434,-6.848030437,107.5487417,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Kampung%20Buyut%20Cipageran%20-%201.jpg?raw=true
WS00066,6313,-7.341734221,108.2146655,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Teejay%20Waterpark%20-%201.jpeg?raw=true
WS00067,400,-7.301945301,108.1967088,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Waterboom%20Ma'arif%20Garden%20-%201.jpeg?raw=true
WS00068,6639,-7.369304615,108.5415219,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Alun-Alun%20Kota%20Banjar%20-%201.jpg?raw=true
WS00069,20,-7.361986395,108.5433595,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Situ%20Mustika%20-%201.jpeg?raw=true
WS00070,415,-7.366970033,108.4792581,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Situ%20Leutik%20-%201.jpg?raw=true
WS00071,150,-7.370040376,108.5445115,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Ecopark%20Kota%20Banjar%20-%201.jpg?raw=true
WS00072,73,-7.398065199,108.5261581,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Obyek%20Wisata%20Lembah%20Pajamben%20-%201.jpg?raw=true
WS00073,172,-6.787652124,108.4158131,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Telaga%20Remis%20-%201.jpg?raw=true
WS00074,1119,-6.883548141,108.4770429,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Taman%20Linggarjati%20-%201.jpeg?raw=true
WS00075,632,-7.00671075,108.4139267,https://raw.githubusercontent.com/desyendriani/MDS_Kelompok_6/refs/heads/main/Image/Waduk%20Darma%20-%201.webp
WS00076,0,-6.889130916,108.5033033,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Sangkanhurip%20-%201.jpg?raw=true
WS00077,1506,-6.896244599,108.4661969,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Curug%20Sidomba%20-%202.jpg?raw=true
WS00078,0,-6.94124902,108.4359638,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Palutungan%20-%202.jpg?raw=true
WS00079,229,-7.055332476,108.7044375,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Bendungan%20Kuningan%20-%202.jpg?raw=true
WS00080,574,-6.96235403,108.4692827,https://raw.githubusercontent.com/desyendriani/MDS_Kelompok_6/refs/heads/main/Image/Situs%20Purbakala%20Cipari%20-%201.webp
WS00081,65796,-6.720550174,106.9508153,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Taman%20Safari%20-%203.jpg?raw=true
WS00082,126,-6.397549705,106.7027408,https://github.com/desyendriani/MDS_Kelompok_6/blob/main/Image/Batu%20Tapak%20Cidokom%20-%201.jpg?raw=true
WS00083,7409,-6.70220068,106.9988928,https://raw.githubusercontent.com/desyendriani/MDS_Kelompok_6/refs/heads/main/Image/Puncak%20-%201.webp
